realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,2010-01-01,12.901782209311454
2019-12-06,2019-12-06,2011-01-01,13.486938678873017
2019-12-06,2019-12-06,2012-01-01,13.72269909394373
2019-12-06,2019-12-06,2013-01-01,13.977058353317346
2019-12-06,2019-12-06,2014-01-01,14.27825736183945
2019-12-06,2019-12-06,2015-01-01,14.510811028052407
2019-12-06,2019-12-06,2016-01-01,14.704120144676835
2019-12-06,2019-12-06,2017-01-01,14.705583376934001
